"","date","value","variable","Element","DL_ppb","variable_units","Class","mean_val","sd_val"
"1",2014-05-02,10.567476,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"2",2014-05-04,22.809252,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"3",2014-05-07,26.793527,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"4",2014-05-10,15.325161,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"5",2014-05-13,11.533008,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"6",2014-05-16,29.143054,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"7",2014-05-19,30.958726,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"8",2014-05-22,37.930958,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"9",2014-05-25,36.506658,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"10",2014-05-28,10.094156,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"11",2014-05-31,11.547176,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"12",2014-06-03,11.143983,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"13",2014-06-06,12.612796,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"14",2014-06-09,10.517552,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"15",2014-06-12,10.997816,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"16",2014-06-15,10.305882,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"17",2014-06-18,8.907282,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"18",2014-06-21,8.210697,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"19",2014-06-24,8.16579,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"20",2014-06-27,8.577468,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"21",2014-06-30,8.102015,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"22",2014-07-03,7.557086,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"23",2014-07-06,7.347819,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"24",2014-07-09,5.655779,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"25",2014-07-12,4.499422,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"26",2014-07-15,4.912514,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"27",2014-07-18,4.974946,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"28",2014-07-21,4.349392,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
"29",2014-07-24,4.187021,"aluminum","Al",0.074,"aluminum_ppb","metal",31.7778478050952,70.0610305733864
